FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160201;0000;18,9984;;;
160202;0000;18,1717;;;
160203;0000;20,5921;;;
160204;0000;10,5035;;;
160205;0000;;;;
160206;0000;;;;
160207;0000;;;;
160208;0000;;;;
160209;0000;;;;
160210;0000;22,1442;;;
160211;0000;20,9458;;;
160212;0000;18,6567;;;
160213;0000;;;;
160214;0000;;;;
160215;0000;;;;
160216;0000;;;;
160217;0000;;;;
160218;0000;20,9088;;;
160219;0000;29,6956;;;
160220;0000;26,1089;;;
160221;0000;;;;
160222;0000;25,1697;;;
160223;0000;26,2081;;;
160224;0000;33,0724;;;
160225;0000;23,2313;;;
160226;0000;29,9741;;;
160227;0000;35,1236;;;
160228;0000;;;;
160229;0000;32,2253;;;
160301;0000;28,076;;;
160302;0000;30,0334;;;
160303;0000;38,7559;;;
160304;0000;39,7369;;;
160305;0000;23,5034;;;
160306;0000;8,83542;;;
160307;0000;14,5928;;;
160308;0000;37,0869;;;
160309;0000;46,6963;;;
160310;0000;39,9102;;;
160311;0000;36,2469;;;
160312;0000;25,0171;;;
160313;0000;32,0842;;;
160314;0000;33,9508;;;
160315;0000;42,5008;;;
160316;0000;37,4329;;;
160317;0000;13,0975;;;
160318;0000;42,5853;;;
160319;0000;32,9792;;;
160320;0000;23,166;;;
160321;0000;51,0005;;;
160322;0000;36,0338;;;
160323;0000;31,8567;;;
160324;0000;38,9295;;;
160325;0000;33,0742;;;
160326;0000;26,5477;;;
160327;0000;25,0977;;;
160328;0000;51,2166;;;
160329;0000;51,1371;;;
160330;0000;32,537;;;
160331;0000;46,083;;;
160401;0000;41,1461;;;
160402;0000;21,7038;;;
160403;0000;;;;
160404;0000;39,9618;;;
160405;0000;91,036;;;
160406;0000;;;;
160407;0000;51,5801;;;
160408;0000;51,6348;;;
160409;0000;38,1402;;;
160410;0000;37,4616;;;
160411;0000;38,6058;;;
160412;0000;21,1883;;;
160413;0000;112,265;;;
160414;0000;45,6118;;;
160415;0000;;;;
160416;0000;;;;
160417;0000;;;;
160418;0000;31,2972;;;
160419;0000;;;;
160420;0000;67,991;;;
160421;0000;87,5125;;;
160422;0000;63,3369;;;
160423;0000;;;;
160424;0000;;;;
160425;0000;75,7194;;;
160426;0000;77,8921;;;
160427;0000;119,538;;;
160428;0000;145,399;;;
160429;0000;99,9294;;;
160430;0000;70,576;;;
160501;0000;38,8662;;;
160502;0000;75,1766;;;
160503;0000;88,4805;;;
160504;0000;62,7067;;;
160505;0000;22,2253;;;
160506;0000;78,4796;;;
160507;0000;43,1438;;;
160508;0000;23,8239;;;
160509;0000;51,0214;;;
160510;0000;65,9813;;;
160511;0000;69,6754;;;
160512;0000;140,6;;;
160513;0000;144,644;;;
160514;0000;94,9846;;;
160515;0000;59,42;;;
160516;0000;73,5081;;;
160517;0000;;;;
160518;0000;;;;
160519;0000;119,083;;;
160520;0000;98,2781;;;
160521;0000;87,8732;;;
160522;0000;87,5428;;;
160523;0000;116,12;;;
160524;0000;137,73;;;
160525;0000;108,744;;;
160526;0000;136,875;;;
160527;0000;165,729;;;
160528;0000;141,97;;;
160529;0000;61,4847;;;
160530;0000;70,4325;;;
160531;0000;65,4271;;;
160601;0000;87,479;;;
160602;0000;99,8215;;;
160603;0000;71,6788;;;
160604;0000;35,0355;;;
160605;0000;65,725;;;
160606;0000;102,459;;;
160607;0000;104,177;;;
160608;0000;;;;
160609;0000;130,638;;;
160610;0000;174,442;;;
160611;0000;120,373;;;
160612;0000;91,0308;;;
160613;0000;113,843;;;
160614;0000;174,366;;;
160615;0000;191,921;;;
160616;0000;153,773;;;
160617;0000;161,04;;;
160618;0000;135,322;;;
160619;0000;61,6974;;;
160620;0000;104,062;;;
160621;0000;157,74;;;
160622;0000;170,273;;;
160623;0000;128,443;;;
160624;0000;96,548;;;
160625;0000;112,94;;;
160626;0000;80,2552;;;
160627;0000;89,6798;;;
160628;0000;190,733;;;
160629;0000;105,352;;;
160630;0000;270,703;;;
160701;0000;258,664;;;
160702;0000;140,744;;;
160703;0000;70,1536;;;
160704;0000;124,906;;;
160705;0000;154,296;;;
160706;0000;162,657;;;
160707;0000;229,81;;;
160708;0000;151,399;;;
160709;0000;192,914;;;
160710;0000;116,204;;;
160711;0000;52,3761;;;
160712;0000;167,163;;;
160713;0000;78,391;;;
160714;0000;51,7195;;;
160715;0000;132,125;;;
160716;0000;146,276;;;
160717;0000;86,4073;;;
160718;0000;130,514;;;
160719;0000;137,185;;;
160720;0000;124,631;;;
160721;0000;152,71;;;
160722;0000;111,431;;;
160723;0000;133,218;;;
160724;0000;90,7466;;;
160725;0000;61,9449;;;
160726;0000;140,481;;;
160727;0000;156,731;;;
160728;0000;122,964;;;
160729;0000;103,051;;;
160730;0000;77,9121;;;
160731;0000;43,8556;;;
160801;0000;103,504;;;
160802;0000;138,507;;;
160803;0000;136,53;;;
160804;0000;124,16;;;
160805;0000;109,887;;;
160806;0000;102,196;;;
160807;0000;93,3328;;;
160808;0000;97,6754;;;
160809;0000;131,824;;;
160810;0000;114,863;;;
160811;0000;69,0204;;;
160812;0000;110,272;;;
160813;0000;88,4435;;;
160814;0000;85,4965;;;
160815;0000;62,4846;;;
160816;0000;56,2512;;;
160817;0000;49,3946;;;
160818;0000;64,2572;;;
160819;0000;63,5021;;;
160820;0000;53,5072;;;
160821;0000;61,9355;;;
160822;0000;95,1195;;;
160823;0000;62,3004;;;
160824;0000;56,9937;;;
160825;0000;82,3538;;;
160826;0000;46,937;;;
160827;0000;44,2391;;;
160828;0000;26,2405;;;
160829;0000;76,5168;;;
160830;0000;84,2739;;;
160831;0000;39,9995;;;
160901;0000;49,3421;;;
160902;0000;74,8792;;;
160903;0000;65,1025;;;
160904;0000;39,9301;;;
160905;0000;85,6581;;;
160906;0000;102,195;;;
160907;0000;94,2334;;;
160908;0000;89,8665;;;
160909;0000;101,882;;;
160910;0000;50,3074;;;
160911;0000;11,0064;;;
160912;0000;31,3998;;;
160913;0000;77,7299;;;
160914;0000;66,4011;;;
160915;0000;62,709;;;
160916;0000;71,4279;;;
160917;0000;42,025;;;
160918;0000;45,9219;;;
160919;0000;46,6362;;;
160920;0000;68,4879;;;
160921;0000;63,6638;;;
160922;0000;67,0492;;;
160923;0000;72,092;;;
160924;0000;47,3386;;;
160925;0000;29,6621;;;
160926;0000;63,2576;;;
160927;0000;59,4891;;;
160928;0000;58,3317;;;
160929;0000;12,1732;;;
160930;0000;52,1627;;;
161001;0000;47,0655;;;
161002;0000;37,1303;;;
161003;0000;44,3884;;;
161004;0000;31,8271;;;
161005;0000;62,6581;;;
161006;0000;61,2356;;;
161007;0000;45,8236;;;
161008;0000;45,6721;;;
161009;0000;28,4383;;;
161010;0000;30,5067;;;
161011;0000;46,5493;;;
161012;0000;50,0643;;;
161013;0000;39,5002;;;
161014;0000;51,9752;;;
161015;0000;39,8525;;;
161016;0000;9,18468;;;
161017;0000;22,8028;;;
161018;0000;20,8034;;;
161019;0000;42,2599;;;
161020;0000;65,5793;;;
161021;0000;54,393;;;
161022;0000;22,4648;;;
161023;0000;8,96291;;;
161024;0000;20,878;;;
161025;0000;44,1593;;;
161026;0000;54,9509;;;
161027;0000;49,9705;;;
161028;0000;31,0296;;;
161029;0000;24,1025;;;
