FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160719;0000;36,977;;;
160720;0000;34,2178;;;
160721;0000;40,4803;;;
160722;0000;34,3312;;;
160723;0000;31,6569;;;
160724;0000;25,9037;;;
160725;0000;18,9255;;;
160726;0000;31,8222;;;
160727;0000;43,2023;;;
160728;0000;34,439;;;
160729;0000;29,6196;;;
160730;0000;22,9153;;;
160731;0000;16,3692;;;
160801;0000;26,8765;;;
160802;0000;39,185;;;
160803;0000;40,2621;;;
160804;0000;36,8965;;;
160805;0000;27,3531;;;
160806;0000;29,1062;;;
160807;0000;27,4459;;;
160808;0000;31,4575;;;
160809;0000;38,1114;;;
160810;0000;38,6384;;;
160811;0000;29,3297;;;
160812;0000;44,6323;;;
160813;0000;37,417;;;
160814;0000;33,3137;;;
160815;0000;24,8266;;;
160816;0000;16,9776;;;
160817;0000;17,9536;;;
160818;0000;21,3571;;;
160819;0000;20,7756;;;
160820;0000;19,7921;;;
160821;0000;22,4753;;;
160822;0000;34,3115;;;
160823;0000;29,2012;;;
160824;0000;32,1379;;;
160825;0000;28,2024;;;
160826;0000;21,2449;;;
160827;0000;22,1431;;;
160828;0000;14,0894;;;
160829;0000;25,4277;;;
160830;0000;32,7982;;;
160831;0000;21,3884;;;
160901;0000;23,7281;;;
160902;0000;26,5572;;;
160903;0000;27,4915;;;
160904;0000;19,9622;;;
160905;0000;32,527;;;
160906;0000;37,4598;;;
160907;0000;42,0622;;;
160908;0000;35,4171;;;
160909;0000;32,6322;;;
160910;0000;27,1598;;;
160911;0000;9,60532;;;
160912;0000;18,1792;;;
160913;0000;27,7022;;;
160914;0000;26,958;;;
160915;0000;35,2685;;;
160916;0000;32,8464;;;
160917;0000;24,0878;;;
160918;0000;23,7025;;;
160919;0000;26,8465;;;
160920;0000;32,2696;;;
160921;0000;29,0371;;;
160922;0000;33,023;;;
160923;0000;31,061;;;
160924;0000;27,5184;;;
160925;0000;18,9403;;;
160926;0000;31,2552;;;
160927;0000;28,9343;;;
160928;0000;24,89;;;
160929;0000;10,1157;;;
160930;0000;21,9732;;;
161001;0000;20,7058;;;
161002;0000;16,8998;;;
161003;0000;22,0513;;;
161004;0000;19,1011;;;
161005;0000;26,8525;;;
161006;0000;29,4803;;;
161007;0000;21,478;;;
161008;0000;24,5085;;;
161009;0000;18,2577;;;
161010;0000;18,3851;;;
161011;0000;24,3612;;;
161012;0000;22,4209;;;
161013;0000;19,0345;;;
161014;0000;26,7255;;;
161015;0000;19,4748;;;
161016;0000;7,60715;;;
161017;0000;14,2373;;;
161018;0000;13,5308;;;
161019;0000;16,9915;;;
161020;0000;27,5123;;;
161021;0000;31,1746;;;
161022;0000;16,67;;;
161023;0000;6,33994;;;
161024;0000;13,3306;;;
161025;0000;20,4374;;;
161026;0000;25,2224;;;
161027;0000;30,3858;;;
161028;0000;18,0146;;;
161029;0000;19,9407;;;
161030;0000;11,9811;;;
161031;0000;10,8567;;;
161101;0000;9,17374;;;
161102;0000;22,9587;;;
161103;0000;23,3083;;;
161104;0000;21,3897;;;
161105;0000;20,5593;;;
161106;0000;15,4129;;;
161107;0000;21,1982;;;
161108;0000;18,4941;;;
161109;0000;19,9167;;;
161110;0000;23,3767;;;
161111;0000;24,2212;;;
161112;0000;20,375;;;
161113;0000;12,6798;;;
161114;0000;17,8961;;;
161115;0000;16,6545;;;
161116;0000;19,3526;;;
161117;0000;27,891;;;
161118;0000;24,4589;;;
161119;0000;18,1263;;;
161120;0000;9,30157;;;
161121;0000;16,6711;;;
161122;0000;13,0479;;;
161123;0000;16,8299;;;
161124;0000;18,2292;;;
161125;0000;8,80165;;;
161126;0000;7,82956;;;
161127;0000;8,43275;;;
161128;0000;20,191;;;
161129;0000;23,1486;;;
161130;0000;20,1249;;;
161201;0000;18,8367;;;
161202;0000;20,1934;;;
161203;0000;13,3581;;;
161204;0000;3,64242;;;
161205;0000;13,2511;;;
161206;0000;21,4208;;;
161207;0000;19,2915;;;
161208;0000;12,1006;;;
161209;0000;18,3221;;;
161210;0000;15,4186;;;
161211;0000;12,2367;;;
161212;0000;14,5168;;;
161213;0000;21,7209;;;
161214;0000;26,622;;;
161215;0000;27,4577;;;
161216;0000;23,753;;;
161217;0000;15,1157;;;
161218;0000;12,0103;;;
161219;0000;20,767;;;
161220;0000;23,1591;;;
161221;0000;15,8159;;;
161222;0000;21,3326;;;
161223;0000;21,2408;;;
161224;0000;15,6607;;;
161225;0000;3,1302;;;
161226;0000;9,67615;;;
161227;0000;20,4453;;;
161228;0000;22,7039;;;
161229;0000;20,075;;;
161230;0000;15,9429;;;
161231;0000;8,83093;;;
170101;0000;11,6441;;;
170102;0000;12,3134;;;
170103;0000;20,4614;;;
170104;0000;18,5804;;;
170105;0000;21,0972;;;
170106;0000;21,9396;;;
170107;0000;16,7237;;;
170108;0000;9,49606;;;
170109;0000;8,19003;;;
170110;0000;14,1269;;;
170111;0000;17,1466;;;
170112;0000;21,8601;;;
170113;0000;19,8603;;;
170114;0000;14,4648;;;
170115;0000;11,3432;;;
170116;0000;18,7211;;;
170117;0000;15,3899;;;
170118;0000;23,0134;;;
170119;0000;32,1899;;;
170120;0000;;;49,2298;
170121;0000;;;45,4109;
170122;0000;;;29,7072;
170123;0000;;;30,537;
170124;0000;;;39,4884;
170125;0000;;;32,2386;
170126;0000;;;22,0359;
170127;0000;14,4083;;;
170128;0000;;;16,3532;
170129;0000;15,9002;;;
170130;0000;22,2339;;;
170131;0000;22,1977;;;
170201;0000;24,0064;;;
170202;0000;18,0025;;;
170203;0000;;;15,1948;
170204;0000;;;8,20477;
170205;0000;11,8862;;;
170206;0000;17,7785;;;
170207;0000;15,5377;;;
170208;0000;10,1894;;;
170209;0000;15,9509;;;
170210;0000;22,4926;;;
170211;0000;;;14,5149;
170212;0000;;;10,7766;
170213;0000;18,3;;;
170214;0000;18,4394;;;
170215;0000;15,7219;;;
170216;0000;;;13,7398;
170217;0000;;;11,6228;
170218;0000;11,8392;;;
170219;0000;;;13,1904;
170220;0000;15,9773;;;
170221;0000;17,3281;;;
170222;0000;16,5107;;;
170223;0000;18,2133;;;
170224;0000;15,4101;;;
170225;0000;12,6933;;;
170226;0000;10,004;;;
170227;0000;12,7063;;;
170228;0000;13,4229;;;
170301;0000;12,1417;;;
170302;0000;8,84496;;;
170303;0000;17,5171;;;
170304;0000;13,4759;;;
170305;0000;16,6239;;;
170306;0000;22,5249;;;
170307;0000;26,4374;;;
170308;0000;19,0729;;;
170309;0000;12,3168;;;
170310;0000;20,5794;;;
170311;0000;18,2888;;;
170312;0000;19,5324;;;
170313;0000;24,1393;;;
170314;0000;17,8134;;;
170315;0000;23,1905;;;
170316;0000;22,7628;;;
170317;0000;27,1829;;;
170318;0000;22,0018;;;
170319;0000;15,7429;;;
170320;0000;24,7886;;;
170321;0000;26,3049;;;
170322;0000;31,5486;;;
170323;0000;29,9054;;;
170324;0000;16,4912;;;
170325;0000;13,5177;;;
170326;0000;14,4443;;;
170327;0000;23,2534;;;
170328;0000;21,005;;;
170329;0000;16,3705;;;
170330;0000;19,7569;;;
170331;0000;23,0653;;;
170401;0000;17,5222;;;
170402;0000;16,1603;;;
170403;0000;25,5599;;;
