FECHA (YYMMDD);HORA (HHMM);;,
150125;1100;30,8333;
150125;1200;30,0833;
150125;1300;28,3333;
150125;1400;26;,
150125;1500;28,8333;
150125;1600;32,3333;
150125;1700;37,4167;
150125;1800;44,5;
150125;1900;48,6667;
150125;2000;53,6667;
150125;2100;57,8333;
150125;2200;60;,
150125;2300;61,4167;
150126;0000;63,75;
150126;0100;65,75;
150126;0200;69,0833;
150126;0300;72,25;
150126;0400;73;,
150126;0500;74,5;
150126;0600;74,6666;
150126;0700;59,5833;
150126;0800;52,6667;
150126;0900;46,4167;
150126;1000;41;,
150126;1100;36,3333;
150126;1200;35,0833;
150126;1300;32,0833;
150126;1400;31,9167;
150126;1500;29,4167;
150126;1600;31,1667;
150126;1700;33,5;
150126;1800;33,6667;
150126;1900;38,6667;
150126;2000;42,4167;
150126;2100;45,3333;
150126;2200;49,3333;
150126;2300;52,75;
150127;0000;57,4167;
150127;0100;61,5833;
150127;0200;64,1666;
150127;0300;65,4166;
150127;0400;67,5833;
150127;0500;68,8333;
150127;0600;69,4166;
150127;0700;54,5833;
150127;0800;48,6667;
150127;0900;42,9167;
150127;1000;37,75;
150127;1100;34,25;
150127;1200;32,3333;
150127;1300;31,5;
150127;1400;29,1667;
150127;1500;28,8333;
150127;1600;30,0833;
150127;1700;32,3333;
150127;1800;36,5;
150127;1900;40,9167;
150127;2000;43,0833;
150127;2100;44,5;
150127;2200;44,5833;
150127;2300;44,5833;
150128;0000;45,9167;
150128;0100;51,4167;
150128;0200;57;,
150128;0300;60,9167;
150128;0400;61,75;
150128;0500;63,0833;
150128;0600;63,5;
150128;0700;54;,
150128;0800;44,9167;
150128;0900;38,3333;
150128;1000;31,1667;
150128;1100;29,0833;
150128;1200;27,1667;
150128;1300;25,8333;
150128;1400;24,5833;
150128;1500;25,3333;
150128;1600;26,25;
150128;1700;29,25;
150128;1800;29,9167;
150128;1900;35,25;
150128;2000;42,0833;
150128;2100;45,8333;
150128;2200;48,9167;
150128;2300;49,5833;
150129;0000;52;,
150129;0100;57,0833;
150129;0200;58,25;
150129;0300;61,5833;
150129;0400;62,5;
150129;0500;63,5;
150129;0600;63,5;
150129;0700;51,25;
150129;0800;40,9167;
150129;0900;36,0833;
150129;1000;32,3333;
150129;1100;28,1667;
150129;1200;27,4167;
150129;1300;25,8333;
150129;1400;24,25;
150129;1500;26,0833;
150129;1600;29,4167;
150129;1700;32;,
150129;1800;34,3333;
150129;1900;39,1667;
150129;2000;42,5833;
150129;2100;46,8333;
150129;2200;51,0833;
150129;2300;54,5;
150130;0000;57,4167;
150130;0100;61,5833;
150130;0200;63,75;
150130;0300;66,25;
150130;0400;69;,
150130;0500;70;,
150130;0600;69,8333;
150130;0700;61,1667;
150130;0800;53,4167;
150130;0900;44,5;
150130;1000;37,9167;
150130;1100;33,5833;
150130;1200;33,25;
150130;1300;31,5833;
150130;1400;30,9167;
150130;1500;30,5;
150130;1600;32;,
150130;1700;34,75;
150130;1800;39,5;
150130;1900;46,25;
150130;2000;51,5833;
150130;2100;53,6667;
150130;2200;55,3333;
150130;2300;58,75;
150131;0000;61,6667;
150131;0100;63,25;
150131;0200;65,8333;
150131;0300;67,5;
150131;0400;69,3333;
150131;0500;71,4166;
150131;0600;70,5;
150131;0700;59,6667;
150131;0800;50,9167;
150131;0900;45,1667;
150131;1000;39,5833;
150131;1100;36,0833;
150131;1200;30,5;
150131;1300;29,6667;
150131;1400;26,3333;
150131;1500;24,6667;
150131;1600;24,5833;
150131;1700;28,8333;
150131;1800;28,9167;
150131;1900;32,6667;
150131;2000;35;,
150131;2100;36,5833;
150131;2200;40,1667;
150131;2300;46,9167;
150201;0000;51,1667;
150201;0100;53,8333;
150201;0200;55,3333;
150201;0300;58,9167;
150201;0400;62,0833;
150201;0500;63,0833;
150201;0600;62,6667;
150201;0700;49,3333;
150201;0800;38;,
150201;0900;31,1667;
150201;1000;26,75;
150201;1100;23,0833;
150201;1200;24,3333;
150201;1300;23;,
150201;1400;21;,
150201;1500;21,3333;
150201;1600;23,5833;
150201;1700;26,8333;
150201;1800;30,75;
150201;1900;38,0833;
150201;2000;44,6667;
150201;2100;49,25;
150201;2200;52,3333;
150201;2300;55,75;
150202;0000;58,6667;
150202;0100;61,25;
150202;0200;62,25;
150202;0300;62,8333;
150202;0400;65,4166;
150202;0500;65,8333;
150202;0600;66,0833;
150202;0700;55,9167;
150202;0800;43;,
150202;0900;39,1667;
150202;1000;35,5833;
150202;1100;30,8333;
150202;1200;27,4167;
150202;1300;25,5;
150202;1400;21,3333;
150202;1500;26,6667;
150202;1600;27;,
150202;1700;28,1667;
150202;1800;31,6667;
150202;1900;38;,
150202;2000;43,1667;
150202;2100;45,6667;
150202;2200;48,6667;
150202;2300;51,1667;
150203;0000;54,5;
150203;0100;57,3333;
150203;0200;60,5;
150203;0300;63,3333;
150203;0400;64,0833;
